V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
GO:0070588,GO:2000643,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0001837,GO:0048536,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0048661,GO:1904321,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:1901362,GO:1904861,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0030278,GO:0090073,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0060828,GO:0006072,NA,NA,NA,NA,NA,NA,NA,NA,NA
GO:0009968,GO:0046184,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0060359,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0006527,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0051547,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:2000052,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0042181,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:2000425,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0031507,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0034613,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0030216,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0034329,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,GO:0060393,NA,NA,NA,NA,NA,NA,NA,NA,NA
