cluster	gene
7	ENSMUSG00000006014
7	ENSMUSG00000009646
7	ENSMUSG00000010086
7	ENSMUSG00000016756
7	ENSMUSG00000018907
7	ENSMUSG00000019761
7	ENSMUSG00000019932
7	ENSMUSG00000020137
7	ENSMUSG00000021091
7	ENSMUSG00000021775
7	ENSMUSG00000021994
7	ENSMUSG00000022221
7	ENSMUSG00000023013
7	ENSMUSG00000023391
7	ENSMUSG00000024234
7	ENSMUSG00000024471
7	ENSMUSG00000024672
7	ENSMUSG00000024989
7	ENSMUSG00000026090
7	ENSMUSG00000026100
7	ENSMUSG00000026430
7	ENSMUSG00000026873
7	ENSMUSG00000027015
7	ENSMUSG00000027016
7	ENSMUSG00000027068
7	ENSMUSG00000027380
7	ENSMUSG00000027966
7	ENSMUSG00000027985
7	ENSMUSG00000028128
7	ENSMUSG00000028780
7	ENSMUSG00000029061
7	ENSMUSG00000029086
7	ENSMUSG00000030510
7	ENSMUSG00000030659
7	ENSMUSG00000030862
7	ENSMUSG00000031103
7	ENSMUSG00000031907
7	ENSMUSG00000032017
7	ENSMUSG00000032278
7	ENSMUSG00000032845
7	ENSMUSG00000033491
7	ENSMUSG00000033765
7	ENSMUSG00000034161
7	ENSMUSG00000036596
7	ENSMUSG00000037405
7	ENSMUSG00000038233
7	ENSMUSG00000038745
7	ENSMUSG00000038763
7	ENSMUSG00000039084
7	ENSMUSG00000039321
7	ENSMUSG00000039787
7	ENSMUSG00000040229
7	ENSMUSG00000041012
7	ENSMUSG00000041261
7	ENSMUSG00000041845
7	ENSMUSG00000041920
7	ENSMUSG00000042340
7	ENSMUSG00000042401
7	ENSMUSG00000042655
7	ENSMUSG00000043557
7	ENSMUSG00000044006
7	ENSMUSG00000045545
7	ENSMUSG00000049685
7	ENSMUSG00000050359
7	ENSMUSG00000050640
7	ENSMUSG00000054065
7	ENSMUSG00000054146
7	ENSMUSG00000054662
7	ENSMUSG00000055415
7	ENSMUSG00000056328
7	ENSMUSG00000060548
7	ENSMUSG00000062345
7	ENSMUSG00000063727
7	ENSMUSG00000064294
7	ENSMUSG00000066364
7	ENSMUSG00000066438
7	ENSMUSG00000067786
7	ENSMUSG00000067916
7	ENSMUSG00000069919
7	ENSMUSG00000071019
7	ENSMUSG00000071537
7	ENSMUSG00000072553
7	ENSMUSG00000073877
7	ENSMUSG00000073940
7	ENSMUSG00000079013
7	ENSMUSG00000079355
7	ENSMUSG00000079465
7	ENSMUSG00000089960
7	ENSMUSG00000090667
7	ENSMUSG00000091694
7	ENSMUSG00000098934
8	ENSMUSG00000000296
8	ENSMUSG00000002055
8	ENSMUSG00000002778
8	ENSMUSG00000004371
8	ENSMUSG00000004945
8	ENSMUSG00000005410
8	ENSMUSG00000010342
8	ENSMUSG00000017491
8	ENSMUSG00000017716
8	ENSMUSG00000019942
8	ENSMUSG00000020220
8	ENSMUSG00000020330
8	ENSMUSG00000020407
8	ENSMUSG00000020897
8	ENSMUSG00000020914
8	ENSMUSG00000021569
8	ENSMUSG00000021732
8	ENSMUSG00000021943
8	ENSMUSG00000022033
8	ENSMUSG00000022986
8	ENSMUSG00000023945
8	ENSMUSG00000024247
8	ENSMUSG00000024987
8	ENSMUSG00000025001
8	ENSMUSG00000025216
8	ENSMUSG00000025510
8	ENSMUSG00000025747
8	ENSMUSG00000026278
8	ENSMUSG00000026574
8	ENSMUSG00000026725
8	ENSMUSG00000027356
8	ENSMUSG00000027469
8	ENSMUSG00000027524
8	ENSMUSG00000027699
8	ENSMUSG00000027715
8	ENSMUSG00000028678
8	ENSMUSG00000028736
8	ENSMUSG00000028873
8	ENSMUSG00000029153
8	ENSMUSG00000029306
8	ENSMUSG00000029683
8	ENSMUSG00000030518
8	ENSMUSG00000030707
8	ENSMUSG00000030867
8	ENSMUSG00000031821
8	ENSMUSG00000031962
8	ENSMUSG00000032218
8	ENSMUSG00000032254
8	ENSMUSG00000032783
8	ENSMUSG00000035498
8	ENSMUSG00000036777
8	ENSMUSG00000037161
8	ENSMUSG00000039323
8	ENSMUSG00000039697
8	ENSMUSG00000040564
8	ENSMUSG00000041431
8	ENSMUSG00000044201
8	ENSMUSG00000044927
8	ENSMUSG00000045273
8	ENSMUSG00000045328
8	ENSMUSG00000046808
8	ENSMUSG00000047343
8	ENSMUSG00000047562
8	ENSMUSG00000047786
8	ENSMUSG00000048327
8	ENSMUSG00000049382
8	ENSMUSG00000049866
8	ENSMUSG00000049892
8	ENSMUSG00000050711
8	ENSMUSG00000051159
8	ENSMUSG00000051378
8	ENSMUSG00000052276
8	ENSMUSG00000054889
8	ENSMUSG00000056643
8	ENSMUSG00000057691
8	ENSMUSG00000058173
8	ENSMUSG00000058503
8	ENSMUSG00000059237
8	ENSMUSG00000063063
8	ENSMUSG00000068101
8	ENSMUSG00000073125
8	ENSMUSG00000086605
8	ENSMUSG00000094651
8	ENSMUSG00000097808
9	ENSMUSG00000006369
9	ENSMUSG00000009772
9	ENSMUSG00000015396
9	ENSMUSG00000017639
9	ENSMUSG00000017897
9	ENSMUSG00000020123
9	ENSMUSG00000020181
9	ENSMUSG00000020473
9	ENSMUSG00000021062
9	ENSMUSG00000021319
9	ENSMUSG00000021702
9	ENSMUSG00000022150
9	ENSMUSG00000023885
9	ENSMUSG00000024011
9	ENSMUSG00000024164
9	ENSMUSG00000024529
9	ENSMUSG00000024587
9	ENSMUSG00000025270
9	ENSMUSG00000025969
9	ENSMUSG00000026343
9	ENSMUSG00000026442
9	ENSMUSG00000027318
9	ENSMUSG00000028444
9	ENSMUSG00000028893
9	ENSMUSG00000028989
9	ENSMUSG00000029816
9	ENSMUSG00000031849
9	ENSMUSG00000031952
9	ENSMUSG00000032487
9	ENSMUSG00000032925
9	ENSMUSG00000034607
9	ENSMUSG00000035000
9	ENSMUSG00000037443
9	ENSMUSG00000038600
